Matthew|1|1|The book of the generation of Jesus Christ, the son of David, the son of Abraham:
Matthew|1|2|Abraham begot Isaac, and Isaac begot Jacob, and Jacob begot Judah and his brothers,
Matthew|1|3|And Judah begot Pharez and Zarah of Tamar, and Pharez begot Hezron, and Hezron begot Aram,
Matthew|1|4|And Aram begot Aminadab, and Aminadab begot Nahshon, and Nahshon begot Salmon,
Matthew|1|5|And Salmon begot Boaz of Rahab, and Boaz begot Obed of Ruth, and Obed begot Jesse,
Matthew|1|6|And Jesse begot David the king. And David begot Solomon of her who had been the wife of Uriah,
Matthew|1|7|And Solomon begot Rehoboam, and Rehoboam begot Abijah, and Abijah begot Asa,
Matthew|1|8|And Asa begot Jehoshaphat, and Jehoshaphat begot Joram, and Joram begot Uzziah,
Matthew|1|9|And Uzziah begot Jotham, and Jotham begot Ahaz, and Ahaz begot Hezekiah,
Matthew|1|10|And Hezekiah begot Manasseh, and Manasseh begot Amon, and Amon begot Josiah.
Matthew|1|11|And Josiah begot Jeconiah and his brothers at the time of the deportation to Babylon.
Matthew|1|12|And after the deportation to Babylon, Jeconiah begot Salathiel, and Salathiel begot Zerubbabel,
Matthew|1|13|And Zerubbabel begot Abiud, and Abiud begot Eliakim, and Eliakim begot Azor,
Matthew|1|14|And Azor begot Zadok, and Zadok begot Achim, and Achim begot Eliud,
Matthew|1|15|And Eliud begot Eleazar, and Eleazar begot Matthan, and Matthan begot Jacob,
Matthew|1|16|And Jacob begot Joseph the husband of Mary, of whom was born Jesus, who is called Christ.
Matthew|1|17|Thus all the generations from Abraham until David are fourteen generations, and from David until the deportation to Babylon, fourteen generations, and from the deportation to Babylon until the Christ, fourteen generations.
Matthew|1|18|Now the origin of Jesus Christ was in this way: His mother, Mary, after she had been engaged to Joseph, before they came together, was found to be with child of the Holy Spirit.
Matthew|1|19|And Joseph her husband, being righteous and not willing to disgrace her openly, intended to send her away secretly.
Matthew|1|20|But while he pondered these things, behold, an angel of the Lord appeared to him in a dream, saying, Joseph, son of David, do not be afraid to take Mary your wife, for that which has been begotten in her is of the Holy Spirit.
Matthew|1|21|And she will bear a son, and you shall call His name Jesus, for it is He who will save His people from their sins.
Matthew|1|22|Now all this has happened so that what was spoken by the Lord through the prophet might be fulfilled, saying,
Matthew|1|23|“Behold, the virgin shall be with child and shall bear a son, and they shall call His name Emmanuel” (which is translated, God with us).
Matthew|1|24|And when Joseph awoke from his sleep, he did as the angel of the Lord commanded him and took to himself his wife.
Matthew|1|25|And he did not know her until she bore a son. And he called His name Jesus.
Matthew|2|1|Now after Jesus was born in Bethlehem of Judea in the days of Herod the king, behold, magi from the east arrived in Jerusalem,
